"filename", "language", "C++", "comment", "blank", "total"
"c:\Users\httpi\github\GalaxOS-EE\Espressif 32\include\Calculator.hpp", "C++", 28, 0, 18, 46
"c:\Users\httpi\github\GalaxOS-EE\Espressif 32\include\Core.hpp", "C++", 141, 39, 62, 242
"c:\Users\httpi\github\GalaxOS-EE\Espressif 32\include\Display.hpp", "C++", 145, 8, 44, 197
"c:\Users\httpi\github\GalaxOS-EE\Espressif 32\include\File_Manager.hpp", "C++", 24, 0, 15, 39
"c:\Users\httpi\github\GalaxOS-EE\Espressif 32\include\GalaxOS.hpp", "C++", 9, 10, 5, 24
"c:\Users\httpi\github\GalaxOS-EE\Espressif 32\include\Internet_Browser.hpp", "C++", 130, 21, 37, 188
"c:\Users\httpi\github\GalaxOS-EE\Espressif 32\include\Keyboard.hpp", "C++", 55, 0, 19, 74
"c:\Users\httpi\github\GalaxOS-EE\Espressif 32\include\Oscilloscope.hpp", "C++", 60, 12, 26, 98
"c:\Users\httpi\github\GalaxOS-EE\Espressif 32\include\Paint.hpp", "C++", 17, 0, 7, 24
"c:\Users\httpi\github\GalaxOS-EE\Espressif 32\include\Periodic.hpp", "C++", 22, 0, 16, 38
"c:\Users\httpi\github\GalaxOS-EE\Espressif 32\include\Piano.hpp", "C++", 17, 0, 11, 28
"c:\Users\httpi\github\GalaxOS-EE\Espressif 32\include\Shell.hpp", "C++", 22, 0, 11, 33
"c:\Users\httpi\github\GalaxOS-EE\Espressif 32\include\Signal_Generator.hpp", "C++", 18, 0, 11, 29
"c:\Users\httpi\github\GalaxOS-EE\Espressif 32\include\Software.hpp", "C++", 41, 2, 18, 61
"c:\Users\httpi\github\GalaxOS-EE\Espressif 32\include\Sound.hpp", "C++", 40, 0, 19, 59
"c:\Users\httpi\github\GalaxOS-EE\Espressif 32\include\Tiny_Basic.hpp", "C++", 78, 0, 17, 95
"c:\Users\httpi\github\GalaxOS-EE\Espressif 32\include\Ultrasonic.hpp", "C++", 20, 0, 11, 31
"Total", "-", 867, 92, 347, 1306
