"filename", "language", "C++", "Ini", "Markdown", "comment", "blank", "total"
"c:\Users\alixa\github\Xila Embedded\Code\Operating_System\Espressif 32\.VSCodeCounter\2020-10-21_21-42-23\details.md", "Markdown", 0, 0, 49, 0, 6, 55
"c:\Users\alixa\github\Xila Embedded\Code\Operating_System\Espressif 32\.VSCodeCounter\2020-10-21_21-42-23\results.md", "Markdown", 0, 0, 18, 0, 7, 25
"c:\Users\alixa\github\Xila Embedded\Code\Operating_System\Espressif 32\.VSCodeCounter\2020-12-22_20-20-52\details.md", "Markdown", 0, 0, 61, 0, 6, 67
"c:\Users\alixa\github\Xila Embedded\Code\Operating_System\Espressif 32\.VSCodeCounter\2020-12-22_20-20-52\results.md", "Markdown", 0, 0, 21, 0, 7, 28
"c:\Users\alixa\github\Xila Embedded\Code\Operating_System\Espressif 32\include\Configuration.hpp", "C++", 47, 0, 0, 13, 29, 89
"c:\Users\alixa\github\Xila Embedded\Code\Operating_System\Espressif 32\include\Core\Core.hpp", "C++", 279, 0, 0, 188, 127, 594
"c:\Users\alixa\github\Xila Embedded\Code\Operating_System\Espressif 32\include\Core\Instruction.hpp", "C++", 14, 0, 0, 0, 3, 17
"c:\Users\alixa\github\Xila Embedded\Code\Operating_System\Espressif 32\include\Core\Path.hpp", "C++", 35, 0, 0, 0, 11, 46
"c:\Users\alixa\github\Xila Embedded\Code\Operating_System\Espressif 32\include\Core\Software.hpp", "C++", 31, 0, 0, 0, 16, 47
"c:\Users\alixa\github\Xila Embedded\Code\Operating_System\Espressif 32\include\Core\Software_Handle.hpp", "C++", 29, 0, 0, 12, 16, 57
"c:\Users\alixa\github\Xila Embedded\Code\Operating_System\Espressif 32\include\Driver\Battery.hpp", "C++", 118, 0, 0, 19, 8, 145
"c:\Users\alixa\github\Xila Embedded\Code\Operating_System\Espressif 32\include\Driver\Display.hpp", "C++", 188, 0, 0, 26, 49, 263
"c:\Users\alixa\github\Xila Embedded\Code\Operating_System\Espressif 32\include\Driver\Keyboard.hpp", "C++", 170, 0, 0, 60, 23, 253
"c:\Users\alixa\github\Xila Embedded\Code\Operating_System\Espressif 32\include\Driver\Sound.hpp", "C++", 77, 0, 0, 27, 42, 146
"c:\Users\alixa\github\Xila Embedded\Code\Operating_System\Espressif 32\include\Software\Calculator.hpp", "C++", 129, 0, 0, 11, 49, 189
"c:\Users\alixa\github\Xila Embedded\Code\Operating_System\Espressif 32\include\Software\Clock.hpp", "C++", 74, 0, 0, 11, 33, 118
"c:\Users\alixa\github\Xila Embedded\Code\Operating_System\Espressif 32\include\Software\Internet_Browser.hpp", "C++", 135, 0, 0, 22, 42, 199
"c:\Users\alixa\github\Xila Embedded\Code\Operating_System\Espressif 32\include\Software\Music_Player.hpp", "C++", 52, 0, 0, 3, 25, 80
"c:\Users\alixa\github\Xila Embedded\Code\Operating_System\Espressif 32\include\Software\Oscilloscope.hpp", "C++", 68, 0, 0, 25, 37, 130
"c:\Users\alixa\github\Xila Embedded\Code\Operating_System\Espressif 32\include\Software\Paint.hpp", "C++", 19, 0, 0, 13, 12, 44
"c:\Users\alixa\github\Xila Embedded\Code\Operating_System\Espressif 32\include\Software\Periodic.hpp", "C++", 28, 0, 0, 3, 17, 48
