"filename", "language", "JSON with Comments", "JSON", "Markdown", "YAML", "Ini", "C++", "Visual Basic", "comment", "blank", "total"
"c:\Users\alixa\github\Xila Embedded\.travis.yml", "YAML", 0, 0, 0, 15, 0, 0, 0, 2, 5, 22
"c:\Users\alixa\github\Xila Embedded\Code Of Conduct.md", "Markdown", 0, 0, 57, 0, 0, 0, 0, 0, 20, 77
"c:\Users\alixa\github\Xila Embedded\Code\Developpement Kit\Drive\USERS\ALIX\REGISTRY\SHELL.XRF", "JSON", 0, 4, 0, 0, 0, 0, 0, 0, 0, 4
"c:\Users\alixa\github\Xila Embedded\Code\Developpement Kit\Drive\USERS\ALIX\REGISTRY\USER.XRF", "JSON", 0, 4, 0, 0, 0, 0, 0, 0, 0, 4
"c:\Users\alixa\github\Xila Embedded\Code\Developpement Kit\Drive\XILA\REGISTRY\DISPLAY.XRF", "JSON", 0, 6, 0, 0, 0, 0, 0, 0, 0, 6
"c:\Users\alixa\github\Xila Embedded\Code\Developpement Kit\Drive\XILA\REGISTRY\DRIVE.XRF", "JSON", 0, 6, 0, 0, 0, 0, 0, 0, 0, 6
"c:\Users\alixa\github\Xila Embedded\Code\Developpement Kit\Drive\XILA\REGISTRY\DUMP.XRF", "JSON", 0, 9, 0, 0, 0, 0, 0, 0, 1, 10
"c:\Users\alixa\github\Xila Embedded\Code\Developpement Kit\Drive\XILA\REGISTRY\NETWORK.XRF", "JSON", 0, 15, 0, 0, 0, 0, 0, 0, 0, 15
"c:\Users\alixa\github\Xila Embedded\Code\Developpement Kit\Drive\XILA\REGISTRY\REGIONAL.XRF", "JSON", 0, 15, 0, 0, 0, 0, 0, 0, 0, 15
"c:\Users\alixa\github\Xila Embedded\Code\Developpement Kit\Drive\XILA\REGISTRY\SOFTWARE.XRF", "JSON", 0, 7, 0, 0, 0, 0, 0, 0, 0, 7
"c:\Users\alixa\github\Xila Embedded\Code\Developpement Kit\Drive\XILA\REGISTRY\SOUND.XRF", "JSON", 0, 4, 0, 0, 0, 0, 0, 0, 0, 4
"c:\Users\alixa\github\Xila Embedded\Code\Developpement Kit\Drive\XILA\REGISTRY\SYSTEM.XRF", "JSON", 0, 11, 0, 0, 0, 0, 0, 0, 0, 11
"c:\Users\alixa\github\Xila Embedded\Code\Developpement Kit\Drive\test.bas", "Visual Basic", 0, 0, 0, 0, 0, 0, 160, 0, 0, 160
"c:\Users\alixa\github\Xila Embedded\Code\Developpement Kit\Serial Bridge\Serial Bridge\platformio.ini", "Ini", 0, 0, 0, 0, 5, 0, 0, 9, 2, 16
"c:\Users\alixa\github\Xila Embedded\Code\Developpement Kit\Serial Bridge\Serial Bridge\src\main.cpp", "C++", 0, 0, 0, 0, 0, 36, 0, 1, 9, 46
"c:\Users\alixa\github\Xila Embedded\Code\External Software\Ultrasonic Rangefinder\Espressif 32\include\Ultrasonic.hpp", "C++", 0, 0, 0, 0, 0, 29, 0, 0, 17, 46
"c:\Users\alixa\github\Xila Embedded\Code\External Software\Ultrasonic Rangefinder\Espressif 32\platformio.ini", "Ini", 0, 0, 0, 0, 4, 0, 0, 9, 2, 15
"c:\Users\alixa\github\Xila Embedded\Code\External Software\Ultrasonic Rangefinder\Espressif 32\src\Ultrasonic.cpp", "C++", 0, 0, 0, 0, 0, 197, 0, 0, 9, 206
"c:\Users\alixa\github\Xila Embedded\Code\External Software\Ultrasonic Rangefinder\Espressif 32\src\main.cpp", "C++", 0, 0, 0, 0, 0, 6, 0, 2, 3, 11
"c:\Users\alixa\github\Xila Embedded\Code\Install Tool\Install Tool.ino", "C++", 0, 0, 0, 0, 0, 74, 0, 21, 18, 113
"c:\Users\alixa\github\Xila Embedded\Code\Operating_System\Drive\SOFTWARE\CALCULAT\REGISTRY\CALCULAT.XRF", "JSON", 0, 18, 0, 0, 0, 0, 0, 0, 0, 18
"c:\Users\alixa\github\Xila Embedded\Code\Operating_System\Drive\SOFTWARE\INTERNET\REGISTRY\SOFTWARE.XRF", "JSON", 0, 18, 0, 0, 0, 0, 0, 0, 0, 18
