Date : 2021-03-05 17:20:28
Directory : c:\Users\alixa\github\Xila\Code\Operating_System\Espressif_32
Total : 70 files,  15153 codes, 1938 comments, 2504 blanks, all 19595 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| C++      |         61 |     14,697 |      1,928 |      2,448 |     19,073 |
| Markdown |          8 |        439 |          0 |         52 |        491 |
| Ini      |          1 |         17 |         10 |          4 |         31 |
+----------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                        | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                           |         70 |     15,153 |      1,938 |      2,504 |     19,595 |
| .VSCodeCounter                                                                                              |          8 |        439 |          0 |         52 |        491 |
| .VSCodeCounter\2020-10-21_21-42-23                                                                          |          2 |         67 |          0 |         13 |         80 |
| .VSCodeCounter\2020-12-22_20-20-52                                                                          |          2 |         82 |          0 |         13 |         95 |
| .VSCodeCounter\2021-02-17_23-19-49                                                                          |          2 |        103 |          0 |         13 |        116 |
| .VSCodeCounter\2021-02-26_20-48-21                                                                          |          2 |        187 |          0 |         13 |        200 |
| include                                                                                                     |         26 |      2,137 |        622 |        792 |      3,551 |
| include\Core                                                                                                |          5 |        409 |        209 |        182 |        800 |
| include\Driver                                                                                              |          4 |        578 |        132 |        128 |        838 |
| include\Software                                                                                            |         15 |      1,092 |        184 |        445 |      1,721 |
| src                                                                                                         |         34 |     12,550 |      1,306 |      1,653 |     15,509 |
| src\Core                                                                                                    |         13 |      1,779 |        477 |        336 |      2,592 |
| src\Driver                                                                                                  |          4 |      1,882 |        212 |        204 |      2,298 |
| src\Software                                                                                                |         15 |      8,878 |        605 |      1,104 |     10,587 |
| test                                                                                                        |          1 |         10 |          0 |          3 |         13 |
| test\Regular                                                                                                |          1 |         10 |          0 |          3 |         13 |
+-------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| filename                                                                                                    | language | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| c:\Users\alixa\github\Xila\Code\Operating_System\Espressif_32\.VSCodeCounter\2020-10-21_21-42-23\details.md | Markdown |         49 |          0 |          6 |         55 |
| c:\Users\alixa\github\Xila\Code\Operating_System\Espressif_32\.VSCodeCounter\2020-10-21_21-42-23\results.md | Markdown |         18 |          0 |          7 |         25 |
| c:\Users\alixa\github\Xila\Code\Operating_System\Espressif_32\.VSCodeCounter\2020-12-22_20-20-52\details.md | Markdown |         61 |          0 |          6 |         67 |
| c:\Users\alixa\github\Xila\Code\Operating_System\Espressif_32\.VSCodeCounter\2020-12-22_20-20-52\results.md | Markdown |         21 |          0 |          7 |         28 |
| c:\Users\alixa\github\Xila\Code\Operating_System\Espressif_32\.VSCodeCounter\2021-02-17_23-19-49\details.md | Markdown |         74 |          0 |          6 |         80 |
| c:\Users\alixa\github\Xila\Code\Operating_System\Espressif_32\.VSCodeCounter\2021-02-17_23-19-49\results.md | Markdown |         29 |          0 |          7 |         36 |
| c:\Users\alixa\github\Xila\Code\Operating_System\Espressif_32\.VSCodeCounter\2021-02-26_20-48-21\details.md | Markdown |        118 |          0 |          6 |        124 |
| c:\Users\alixa\github\Xila\Code\Operating_System\Espressif_32\.VSCodeCounter\2021-02-26_20-48-21\results.md | Markdown |         69 |          0 |          7 |         76 |
| c:\Users\alixa\github\Xila\Code\Operating_System\Espressif_32\include\Configuration.hpp                     | C++      |         52 |         18 |         33 |        103 |
| c:\Users\alixa\github\Xila\Code\Operating_System\Espressif_32\include\Core\Core.hpp                         | C++      |        297 |        196 |        132 |        625 |
| c:\Users\alixa\github\Xila\Code\Operating_System\Espressif_32\include\Core\Instruction.hpp                  | C++      |         14 |          0 |          3 |         17 |
| c:\Users\alixa\github\Xila\Code\Operating_System\Espressif_32\include\Core\Path.hpp                         | C++      |         35 |          0 |         11 |         46 |
| c:\Users\alixa\github\Xila\Code\Operating_System\Espressif_32\include\Core\Software.hpp                     | C++      |         34 |          1 |         20 |         55 |
| c:\Users\alixa\github\Xila\Code\Operating_System\Espressif_32\include\Core\Software_Handle.hpp              | C++      |         29 |         12 |         16 |         57 |
| c:\Users\alixa\github\Xila\Code\Operating_System\Espressif_32\include\Driver\Battery.hpp                    | C++      |        118 |         19 |          8 |        145 |
| c:\Users\alixa\github\Xila\Code\Operating_System\Espressif_32\include\Driver\Display.hpp                    | C++      |        189 |         26 |         52 |        267 |
| c:\Users\alixa\github\Xila\Code\Operating_System\Espressif_32\include\Driver\Keyboard.hpp                   | C++      |        170 |         60 |         23 |        253 |
| c:\Users\alixa\github\Xila\Code\Operating_System\Espressif_32\include\Driver\Sound.hpp                      | C++      |        101 |         27 |         45 |        173 |
