"filename", "language", "Ini", "C++", "YAML", "Markdown", "comment", "blank", "total"
"c:\Users\httpi\github\GalaxOS-EE\Espressif 32\.VSCodeCounter\2020-10-21_21-42-23\details.md", "Markdown", 0, 0, 0, 49, 0, 6, 55
"c:\Users\httpi\github\GalaxOS-EE\Espressif 32\.VSCodeCounter\2020-10-21_21-42-23\results.md", "Markdown", 0, 0, 0, 18, 0, 7, 25
"c:\Users\httpi\github\GalaxOS-EE\Espressif 32\.travis.yml", "YAML", 0, 0, 14, 0, 0, 5, 19
"c:\Users\httpi\github\GalaxOS-EE\Espressif 32\include\Battery.hpp", "C++", 0, 118, 0, 0, 1, 7, 126
"c:\Users\httpi\github\GalaxOS-EE\Espressif 32\include\Clock.hpp", "C++", 0, 73, 0, 0, 11, 31, 115
"c:\Users\httpi\github\GalaxOS-EE\Espressif 32\include\Configuration.hpp", "C++", 0, 29, 0, 0, 3, 10, 42
"c:\Users\httpi\github\GalaxOS-EE\Espressif 32\include\Core.hpp", "C++", 0, 252, 0, 0, 84, 76, 412
"c:\Users\httpi\github\GalaxOS-EE\Espressif 32\include\Display.hpp", "C++", 0, 180, 0, 0, 8, 43, 231
"c:\Users\httpi\github\GalaxOS-EE\Espressif 32\include\Executable_Loader.hpp", "C++", 0, 14, 0, 0, 1, 9, 24
"c:\Users\httpi\github\GalaxOS-EE\Espressif 32\include\Instruction.hpp", "C++", 0, 14, 0, 0, 0, 3, 17
"c:\Users\httpi\github\GalaxOS-EE\Espressif 32\include\Internet_Browser.hpp", "C++", 0, 136, 0, 0, 21, 42, 199
"c:\Users\httpi\github\GalaxOS-EE\Espressif 32\include\Keyboard.hpp", "C++", 0, 54, 0, 0, 0, 19, 73
"c:\Users\httpi\github\GalaxOS-EE\Espressif 32\include\Music_Player.hpp", "C++", 0, 17, 0, 0, 0, 8, 25
"c:\Users\httpi\github\GalaxOS-EE\Espressif 32\include\Oscilloscope.hpp", "C++", 0, 66, 0, 0, 12, 28, 106
"c:\Users\httpi\github\GalaxOS-EE\Espressif 32\include\Paint.hpp", "C++", 0, 20, 0, 0, 12, 12, 44
"c:\Users\httpi\github\GalaxOS-EE\Espressif 32\include\Periodic.hpp", "C++", 0, 27, 0, 0, 3, 18, 48
"c:\Users\httpi\github\GalaxOS-EE\Espressif 32\include\Piano.hpp", "C++", 0, 23, 0, 0, 0, 12, 35
"c:\Users\httpi\github\GalaxOS-EE\Espressif 32\include\Pong.hpp", "C++", 0, 14, 0, 0, 0, 8, 22
"c:\Users\httpi\github\GalaxOS-EE\Espressif 32\include\Shell.hpp", "C++", 0, 48, 0, 0, 0, 18, 66
"c:\Users\httpi\github\GalaxOS-EE\Espressif 32\include\Signal_generator.hpp", "C++", 0, 22, 0, 0, 0, 11, 33
"c:\Users\httpi\github\GalaxOS-EE\Espressif 32\include\Software.hpp", "C++", 0, 55, 0, 0, 3, 26, 84
"c:\Users\httpi\github\GalaxOS-EE\Espressif 32\include\Sound.hpp", "C++", 0, 60, 0, 0, 1, 24, 85
"c:\Users\httpi\github\GalaxOS-EE\Espressif 32\include\Text Editor.hpp", "C++", 0, 34, 0, 0, 0, 17, 51
"c:\Users\httpi\github\GalaxOS-EE\Espressif 32\include\Tiny_Basic.hpp", "C++", 0, 278, 0, 0, 39, 57, 374
"c:\Users\httpi\github\GalaxOS-EE\Espressif 32\include\Ultrasonic.hpp", "C++", 0, 31, 0, 0, 0, 18, 49
"c:\Users\httpi\github\GalaxOS-EE\Espressif 32\include\Xila.hpp", "C++", 0, 6, 0, 0, 82, 3, 91
"c:\Users\httpi\github\GalaxOS-EE\Espressif 32\include\calculator.hpp", "C++", 0, 81, 0, 0, 8, 32, 121
"c:\Users\httpi\github\GalaxOS-EE\Espressif 32\platformio.ini", "Ini", 9, 0, 0, 0, 9, 2, 20
"c:\Users\httpi\github\GalaxOS-EE\Espressif 32\src\Battery.cpp", "C++", 0, 22, 0, 0, 2, 5, 29
"c:\Users\httpi\github\GalaxOS-EE\Espressif 32\src\Clock.cpp", "C++", 0, 642, 0, 0, 2, 39, 683
"c:\Users\httpi\github\GalaxOS-EE\Espressif 32\src\Core.cpp", "C++", 0, 864, 0, 0, 663, 109, 1636
"c:\Users\httpi\github\GalaxOS-EE\Espressif 32\src\Display.cpp", "C++", 0, 760, 0, 0, 5, 66, 831
"c:\Users\httpi\github\GalaxOS-EE\Espressif 32\src\Executable_Loader.cpp", "C++", 0, 41, 0, 0, 5, 4, 50
"c:\Users\httpi\github\GalaxOS-EE\Espressif 32\src\Instruction.cpp", "C++", 0, 7, 0, 0, 1, 1, 9
"c:\Users\httpi\github\GalaxOS-EE\Espressif 32\src\Internet_Browser.cpp", "C++", 0, 1130, 0, 0, 73, 142, 1345
"c:\Users\httpi\github\GalaxOS-EE\Espressif 32\src\Keyboard.cpp", "C++", 0, 305, 0, 0, 40, 28, 373
"c:\Users\httpi\github\GalaxOS-EE\Espressif 32\src\Main.cpp", "C++", 0, 9, 0, 0, 0, 3, 12
"c:\Users\httpi\github\GalaxOS-EE\Espressif 32\src\Music_Player.cpp", "C++", 0, 35, 0, 0, 1, 10, 46
"c:\Users\httpi\github\GalaxOS-EE\Espressif 32\src\Oscilloscope.cpp", "C++", 0, 520, 0, 0, 6, 32, 558
"c:\Users\httpi\github\GalaxOS-EE\Espressif 32\src\Paint.cpp", "C++", 0, 40, 0, 0, 23, 14, 77
"c:\Users\httpi\github\GalaxOS-EE\Espressif 32\src\Periodic.cpp", "C++", 0, 158, 0, 0, 1, 24, 183
"c:\Users\httpi\github\GalaxOS-EE\Espressif 32\src\Piano.cpp", "C++", 0, 127, 0, 0, 10, 30, 167
